0.8741 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.5938 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.1518 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000206ACD359E8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000206AD146A20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1700 	EXP 	window1: mouseVisible = True
13.1701 	EXP 	window1: recordFrameIntervals = False
13.3045 	EXP 	window1: recordFrameIntervals = True
13.4878 	EXP 	window1: recordFrameIntervals = False
14.1915 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
14.3565 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.75]), texRes=128, units='height', win=Window(...))
14.3866 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Finished', units='height', win=Window(...), wrapWidth=1)
14.4233 	EXP 	instrText: autoDraw = True
15.7811 	DATA 	Keypress: k
16.3091 	EXP 	Imported road map conditions.xlsx as conditions, 1 conditions, 2 params
16.3094 	EXP 	Created sequence: sequential, trialTypes=1, nReps=32, seed=None
16.3097 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
16.3573 	EXP 	instrText: autoDraw = False
16.3573 	EXP 	map: autoDraw = True
35.8329 	EXP 	New trial (rep=1, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
35.8399 	EXP 	map: autoDraw = False
35.8399 	EXP 	map: autoDraw = True
39.3573 	EXP 	New trial (rep=2, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
39.3596 	DATA 	Keypress: k
39.3684 	EXP 	map: autoDraw = False
39.3684 	EXP 	map: autoDraw = True
39.6897 	EXP 	New trial (rep=3, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
39.6922 	DATA 	Keypress: s
39.7014 	EXP 	map: autoDraw = False
39.7014 	EXP 	map: autoDraw = True
39.9577 	EXP 	New trial (rep=4, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
39.9603 	DATA 	Keypress: k
39.9680 	EXP 	map: autoDraw = False
39.9680 	EXP 	map: autoDraw = True
40.1890 	EXP 	New trial (rep=5, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
40.1915 	DATA 	Keypress: s
40.2012 	EXP 	map: autoDraw = False
40.2012 	EXP 	map: autoDraw = True
40.4425 	EXP 	New trial (rep=6, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
40.4462 	DATA 	Keypress: k
40.4517 	EXP 	map: autoDraw = False
40.4517 	EXP 	map: autoDraw = True
40.6719 	EXP 	New trial (rep=7, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
40.6744 	DATA 	Keypress: s
40.6835 	EXP 	map: autoDraw = False
40.6835 	EXP 	map: autoDraw = True
40.9218 	EXP 	New trial (rep=8, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
40.9244 	DATA 	Keypress: k
40.9342 	EXP 	map: autoDraw = False
40.9342 	EXP 	map: autoDraw = True
41.1554 	EXP 	New trial (rep=9, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
41.1580 	DATA 	Keypress: s
41.1670 	EXP 	map: autoDraw = False
41.1670 	EXP 	map: autoDraw = True
41.4218 	DATA 	Keypress: k
41.4381 	EXP 	New trial (rep=10, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
41.4501 	EXP 	map: autoDraw = False
41.4501 	EXP 	map: autoDraw = True
41.6717 	EXP 	New trial (rep=11, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
41.6743 	DATA 	Keypress: s
41.6834 	EXP 	map: autoDraw = False
41.6834 	EXP 	map: autoDraw = True
41.9211 	EXP 	New trial (rep=12, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
41.9236 	DATA 	Keypress: k
41.9333 	EXP 	map: autoDraw = False
41.9333 	EXP 	map: autoDraw = True
42.1874 	EXP 	New trial (rep=13, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
42.1901 	DATA 	Keypress: s
42.1995 	EXP 	map: autoDraw = False
42.1995 	EXP 	map: autoDraw = True
42.4381 	EXP 	New trial (rep=14, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
42.4404 	DATA 	Keypress: k
42.4493 	EXP 	map: autoDraw = False
42.4493 	EXP 	map: autoDraw = True
42.6728 	EXP 	New trial (rep=15, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
42.6754 	DATA 	Keypress: s
42.6825 	EXP 	map: autoDraw = False
42.6825 	EXP 	map: autoDraw = True
42.9536 	EXP 	New trial (rep=16, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
42.9564 	DATA 	Keypress: k
42.9654 	EXP 	map: autoDraw = False
42.9654 	EXP 	map: autoDraw = True
43.2227 	EXP 	New trial (rep=17, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
43.2254 	DATA 	Keypress: s
43.2319 	EXP 	map: autoDraw = False
43.2319 	EXP 	map: autoDraw = True
43.5040 	EXP 	New trial (rep=18, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
43.5065 	DATA 	Keypress: k
43.5151 	EXP 	map: autoDraw = False
43.5151 	EXP 	map: autoDraw = True
43.7361 	EXP 	New trial (rep=19, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
43.7387 	DATA 	Keypress: s
43.7476 	EXP 	map: autoDraw = False
43.7476 	EXP 	map: autoDraw = True
44.0192 	EXP 	New trial (rep=20, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
44.0217 	DATA 	Keypress: k
44.0313 	EXP 	map: autoDraw = False
44.0313 	EXP 	map: autoDraw = True
44.2361 	EXP 	New trial (rep=21, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
44.2384 	DATA 	Keypress: s
44.2479 	EXP 	map: autoDraw = False
44.2479 	EXP 	map: autoDraw = True
