1.6074 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.7490 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
17.5543 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000016694155A90>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000016694126AC8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.5549 	EXP 	window1: mouseVisible = True
17.5550 	EXP 	window1: recordFrameIntervals = False
17.7192 	EXP 	window1: recordFrameIntervals = True
17.9030 	EXP 	window1: recordFrameIntervals = False
18.3824 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
18.8150 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.75]), texRes=128, units='height', win=Window(...))
18.8576 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Finished', units='height', win=Window(...), wrapWidth=1)
18.8986 	EXP 	instrText: autoDraw = True
72.0275 	EXP 	Imported road map conditions.xlsx as conditions, 32 conditions, 2 params
72.0283 	EXP 	Created sequence: random, trialTypes=32, nReps=1, seed=None
72.0289 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 'k'), ('directNote', None)])
72.2596 	DATA 	Keypress: space
72.2681 	EXP 	instrText: autoDraw = False
72.2681 	EXP 	map: autoDraw = True
91.9478 	EXP 	New trial (rep=0, index=1): OrderedDict([('corrAns', 'k'), ('directNote', None)])
91.9603 	EXP 	map: autoDraw = False
91.9603 	EXP 	map: autoDraw = True
111.9470 	EXP 	New trial (rep=0, index=2): OrderedDict([('corrAns', 'k'), ('directNote', None)])
111.9606 	EXP 	map: autoDraw = False
111.9606 	EXP 	map: autoDraw = True
131.9469 	EXP 	New trial (rep=0, index=3): OrderedDict([('corrAns', 's'), ('directNote', None)])
131.9607 	EXP 	map: autoDraw = False
131.9607 	EXP 	map: autoDraw = True
151.9469 	EXP 	New trial (rep=0, index=4): OrderedDict([('corrAns', 'k'), ('directNote', None)])
151.9603 	EXP 	map: autoDraw = False
151.9603 	EXP 	map: autoDraw = True
171.9474 	EXP 	New trial (rep=0, index=5): OrderedDict([('corrAns', 's'), ('directNote', 'k = right')])
171.9612 	EXP 	map: autoDraw = False
171.9612 	EXP 	map: autoDraw = True
177.3290 	DATA 	Keypress: left
177.7120 	DATA 	Keypress: right
178.0785 	DATA 	Keypress: left
178.4620 	DATA 	Keypress: right
178.8609 	DATA 	Keypress: left
179.2604 	DATA 	Keypress: right
179.6606 	DATA 	Keypress: left
180.0608 	DATA 	Keypress: right
180.4762 	DATA 	Keypress: left
180.8262 	DATA 	Keypress: right
181.2428 	DATA 	Keypress: left
181.5933 	DATA 	Keypress: right
181.9748 	DATA 	Keypress: left
182.2914 	DATA 	Keypress: right
182.6748 	DATA 	Keypress: left
183.0239 	DATA 	Keypress: right
183.4090 	DATA 	Keypress: left
183.7731 	DATA 	Keypress: right
184.1076 	DATA 	Keypress: left
184.4402 	DATA 	Keypress: right
184.8234 	DATA 	Keypress: left
185.1053 	DATA 	Keypress: right
185.4548 	DATA 	Keypress: left
185.8052 	DATA 	Keypress: right
190.9360 	EXP 	New trial (rep=0, index=6): OrderedDict([('corrAns', 'k'), ('directNote', None)])
190.9401 	DATA 	Keypress: s
190.9459 	EXP 	map: autoDraw = False
190.9459 	EXP 	map: autoDraw = True
191.2194 	EXP 	New trial (rep=0, index=7): OrderedDict([('corrAns', 's'), ('directNote', None)])
191.2238 	DATA 	Keypress: k
191.2302 	EXP 	map: autoDraw = False
191.2302 	EXP 	map: autoDraw = True
191.5521 	EXP 	New trial (rep=0, index=8): OrderedDict([('corrAns', 's'), ('directNote', None)])
191.5557 	DATA 	Keypress: s
191.5616 	EXP 	map: autoDraw = False
191.5616 	EXP 	map: autoDraw = True
191.8336 	DATA 	Keypress: k
191.8509 	EXP 	New trial (rep=0, index=9): OrderedDict([('corrAns', 'k'), ('directNote', None)])
191.8613 	EXP 	map: autoDraw = False
191.8613 	EXP 	map: autoDraw = True
192.1844 	EXP 	New trial (rep=0, index=10): OrderedDict([('corrAns', 's'), ('directNote', None)])
192.1883 	DATA 	Keypress: s
192.1946 	EXP 	map: autoDraw = False
192.1946 	EXP 	map: autoDraw = True
192.5006 	EXP 	New trial (rep=0, index=11): OrderedDict([('corrAns', 'k'), ('directNote', None)])
192.5046 	DATA 	Keypress: k
192.5107 	EXP 	map: autoDraw = False
192.5107 	EXP 	map: autoDraw = True
192.8510 	EXP 	New trial (rep=0, index=12): OrderedDict([('corrAns', 'k'), ('directNote', None)])
192.8552 	DATA 	Keypress: s
192.8610 	EXP 	map: autoDraw = False
192.8610 	EXP 	map: autoDraw = True
193.1512 	EXP 	New trial (rep=0, index=13): OrderedDict([('corrAns', 'k'), ('directNote', None)])
193.1550 	DATA 	Keypress: k
193.1614 	EXP 	map: autoDraw = False
193.1614 	EXP 	map: autoDraw = True
193.4829 	DATA 	Keypress: s
193.5008 	EXP 	New trial (rep=0, index=14): OrderedDict([('corrAns', 'k'), ('directNote', None)])
193.5102 	EXP 	map: autoDraw = False
193.5102 	EXP 	map: autoDraw = True
193.7670 	EXP 	New trial (rep=0, index=15): OrderedDict([('corrAns', 'k'), ('directNote', None)])
193.7705 	DATA 	Keypress: k
193.7767 	EXP 	map: autoDraw = False
193.7767 	EXP 	map: autoDraw = True
194.0977 	EXP 	New trial (rep=0, index=16): OrderedDict([('corrAns', 's'), ('directNote', None)])
194.1012 	DATA 	Keypress: s
194.1097 	EXP 	map: autoDraw = False
194.1097 	EXP 	map: autoDraw = True
194.3640 	EXP 	New trial (rep=0, index=17): OrderedDict([('corrAns', 's'), ('directNote', None)])
194.3673 	DATA 	Keypress: k
194.3756 	EXP 	map: autoDraw = False
194.3756 	EXP 	map: autoDraw = True
194.7151 	EXP 	New trial (rep=0, index=18): OrderedDict([('corrAns', 'k'), ('directNote', None)])
194.7192 	DATA 	Keypress: s
194.7259 	EXP 	map: autoDraw = False
194.7259 	EXP 	map: autoDraw = True
194.9804 	EXP 	New trial (rep=0, index=19): OrderedDict([('corrAns', 's'), ('directNote', None)])
194.9841 	DATA 	Keypress: k
194.9913 	EXP 	map: autoDraw = False
194.9913 	EXP 	map: autoDraw = True
195.3133 	DATA 	Keypress: s
195.3296 	EXP 	New trial (rep=0, index=20): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
195.3409 	EXP 	map: autoDraw = False
195.3409 	EXP 	map: autoDraw = True
195.6306 	DATA 	Keypress: k
195.6477 	EXP 	New trial (rep=0, index=21): OrderedDict([('corrAns', 's'), ('directNote', None)])
195.6581 	EXP 	map: autoDraw = False
195.6581 	EXP 	map: autoDraw = True
195.9645 	EXP 	New trial (rep=0, index=22): OrderedDict([('corrAns', 's'), ('directNote', None)])
195.9683 	DATA 	Keypress: s
195.9746 	EXP 	map: autoDraw = False
195.9746 	EXP 	map: autoDraw = True
196.2475 	EXP 	New trial (rep=0, index=23): OrderedDict([('corrAns', 'k'), ('directNote', None)])
196.2516 	DATA 	Keypress: k
196.2575 	EXP 	map: autoDraw = False
196.2575 	EXP 	map: autoDraw = True
196.5473 	EXP 	New trial (rep=0, index=24): OrderedDict([('corrAns', 'k'), ('directNote', None)])
196.5511 	DATA 	Keypress: s
196.5573 	EXP 	map: autoDraw = False
196.5573 	EXP 	map: autoDraw = True
196.8472 	EXP 	New trial (rep=0, index=25): OrderedDict([('corrAns', 's'), ('directNote', None)])
196.8514 	DATA 	Keypress: k
196.8573 	EXP 	map: autoDraw = False
196.8573 	EXP 	map: autoDraw = True
197.0810 	EXP 	New trial (rep=0, index=26): OrderedDict([('corrAns', 'k'), ('directNote', None)])
197.0848 	DATA 	Keypress: s
197.0909 	EXP 	map: autoDraw = False
197.0909 	EXP 	map: autoDraw = True
197.3974 	EXP 	New trial (rep=0, index=27): OrderedDict([('corrAns', 'k'), ('directNote', None)])
197.4014 	DATA 	Keypress: k
197.4069 	EXP 	map: autoDraw = False
197.4069 	EXP 	map: autoDraw = True
197.6807 	EXP 	New trial (rep=0, index=28): OrderedDict([('corrAns', 's'), ('directNote', None)])
197.6854 	DATA 	Keypress: s
197.6910 	EXP 	map: autoDraw = False
197.6910 	EXP 	map: autoDraw = True
197.9953 	EXP 	New trial (rep=0, index=29): OrderedDict([('corrAns', 's'), ('directNote', None)])
197.9983 	DATA 	Keypress: k
198.0059 	EXP 	map: autoDraw = False
198.0059 	EXP 	map: autoDraw = True
