1.8592 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.9328 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
15.4476 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A6F75E5A58>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A6F79F6A90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.4484 	EXP 	window1: mouseVisible = True
15.4485 	EXP 	window1: recordFrameIntervals = False
15.6125 	EXP 	window1: recordFrameIntervals = True
15.7965 	EXP 	window1: recordFrameIntervals = False
16.2209 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
16.6391 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.75]), texRes=128, units='height', win=Window(...))
16.6654 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Finished', units='height', win=Window(...), wrapWidth=1)
16.7071 	EXP 	instrText: autoDraw = True
17.9173 	DATA 	Keypress: k
18.0321 	EXP 	Imported road map conditions.xlsx as conditions, 1 conditions, 2 params
18.0326 	EXP 	Created sequence: sequential, trialTypes=1, nReps=32, seed=None
18.0333 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
18.3707 	EXP 	instrText: autoDraw = False
18.3707 	EXP 	map: autoDraw = True
19.6541 	EXP 	New trial (rep=1, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
19.6575 	DATA 	Keypress: k
19.6632 	EXP 	map: autoDraw = False
19.6632 	EXP 	map: autoDraw = True
19.9371 	EXP 	New trial (rep=2, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
19.9409 	DATA 	Keypress: k
19.9466 	EXP 	map: autoDraw = False
19.9466 	EXP 	map: autoDraw = True
20.2536 	EXP 	New trial (rep=3, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
20.2573 	DATA 	Keypress: k
20.2629 	EXP 	map: autoDraw = False
20.2629 	EXP 	map: autoDraw = True
20.5670 	DATA 	Keypress: k
20.5859 	EXP 	New trial (rep=4, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
20.5941 	EXP 	map: autoDraw = False
20.5941 	EXP 	map: autoDraw = True
20.8837 	EXP 	New trial (rep=5, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
20.8869 	DATA 	Keypress: k
20.8931 	EXP 	map: autoDraw = False
20.8931 	EXP 	map: autoDraw = True
21.2185 	EXP 	New trial (rep=6, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
21.2251 	DATA 	Keypress: k
21.2313 	EXP 	map: autoDraw = False
21.2313 	EXP 	map: autoDraw = True
21.5521 	EXP 	New trial (rep=7, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
21.5560 	DATA 	Keypress: k
21.5619 	EXP 	map: autoDraw = False
21.5619 	EXP 	map: autoDraw = True
21.8477 	DATA 	Keypress: k
