0.8759 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.2161 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
14.4250 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012992BB5A90>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000012992B86AC8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.4257 	EXP 	window1: mouseVisible = True
14.4257 	EXP 	window1: recordFrameIntervals = False
14.5910 	EXP 	window1: recordFrameIntervals = True
14.7744 	EXP 	window1: recordFrameIntervals = False
15.8775 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
16.2040 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.75]), texRes=128, units='height', win=Window(...))
16.2240 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Finished', units='height', win=Window(...), wrapWidth=1)
16.2553 	EXP 	instrText: autoDraw = True
26.1167 	DATA 	Keypress: k
26.8528 	EXP 	Imported road map conditions.xlsx as conditions, 32 conditions, 2 params
26.8536 	EXP 	Created sequence: random, trialTypes=32, nReps=32, seed=None
26.8539 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 'k'), ('directNote', None)])
27.0310 	EXP 	instrText: autoDraw = False
27.0310 	EXP 	map: autoDraw = True
47.0310 	EXP 	map: autoDraw = False
53.3321 	EXP 	New trial (rep=0, index=1): OrderedDict([('corrAns', 's'), ('directNote', None)])
53.3341 	DATA 	Keypress: k
53.3446 	EXP 	map: autoDraw = False
53.3446 	EXP 	map: autoDraw = True
54.5326 	EXP 	New trial (rep=0, index=2): OrderedDict([('corrAns', 's'), ('directNote', None)])
54.5346 	DATA 	Keypress: k
54.5438 	EXP 	map: autoDraw = False
54.5438 	EXP 	map: autoDraw = True
55.8645 	EXP 	New trial (rep=0, index=3): OrderedDict([('corrAns', 'k'), ('directNote', None)])
55.8669 	DATA 	Keypress: s
55.8759 	EXP 	map: autoDraw = False
55.8759 	EXP 	map: autoDraw = True
56.0633 	DATA 	Keypress: k
56.0807 	EXP 	New trial (rep=0, index=4): OrderedDict([('corrAns', 's'), ('directNote', None)])
56.0924 	EXP 	map: autoDraw = False
56.0924 	EXP 	map: autoDraw = True
56.3976 	EXP 	New trial (rep=0, index=5): OrderedDict([('corrAns', 'k'), ('directNote', None)])
56.4002 	DATA 	Keypress: s
56.4089 	EXP 	map: autoDraw = False
56.4089 	EXP 	map: autoDraw = True
56.6133 	EXP 	New trial (rep=0, index=6): OrderedDict([('corrAns', 'k'), ('directNote', None)])
56.6158 	DATA 	Keypress: k
56.6254 	EXP 	map: autoDraw = False
56.6254 	EXP 	map: autoDraw = True
56.8132 	EXP 	New trial (rep=0, index=7): OrderedDict([('corrAns', 's'), ('directNote', None)])
56.8157 	DATA 	Keypress: k
56.8246 	EXP 	map: autoDraw = False
56.8246 	EXP 	map: autoDraw = True
56.9465 	EXP 	New trial (rep=0, index=8): OrderedDict([('corrAns', 'k'), ('directNote', None)])
56.9490 	DATA 	Keypress: s
56.9585 	EXP 	map: autoDraw = False
56.9585 	EXP 	map: autoDraw = True
57.1135 	EXP 	New trial (rep=0, index=9): OrderedDict([('corrAns', 's'), ('directNote', None)])
57.1160 	DATA 	Keypress: k
57.1242 	EXP 	map: autoDraw = False
57.1242 	EXP 	map: autoDraw = True
57.2967 	EXP 	New trial (rep=0, index=10): OrderedDict([('corrAns', 'k'), ('directNote', None)])
57.2993 	DATA 	Keypress: s
57.3076 	EXP 	map: autoDraw = False
57.3076 	EXP 	map: autoDraw = True
57.3456 	EXP 	New trial (rep=0, index=11): OrderedDict([('corrAns', 's'), ('directNote', None)])
57.3482 	DATA 	Keypress: k
57.3579 	EXP 	map: autoDraw = False
57.3579 	EXP 	map: autoDraw = True
57.5291 	EXP 	New trial (rep=0, index=12): OrderedDict([('corrAns', 'k'), ('directNote', None)])
57.5317 	DATA 	Keypress: s
57.5410 	EXP 	map: autoDraw = False
57.5410 	EXP 	map: autoDraw = True
57.5475 	DATA 	Keypress: k
57.6959 	DATA 	Keypress: k
57.7123 	EXP 	New trial (rep=0, index=13): OrderedDict([('corrAns', 's'), ('directNote', None)])
57.7247 	EXP 	map: autoDraw = False
57.7247 	EXP 	map: autoDraw = True
57.7791 	EXP 	New trial (rep=0, index=14): OrderedDict([('corrAns', 'k'), ('directNote', None)])
57.7816 	DATA 	Keypress: s
57.7909 	EXP 	map: autoDraw = False
57.7909 	EXP 	map: autoDraw = True
57.8961 	EXP 	New trial (rep=0, index=15): OrderedDict([('corrAns', 's'), ('directNote', None)])
57.8987 	DATA 	Keypress: k
57.9075 	EXP 	map: autoDraw = False
57.9075 	EXP 	map: autoDraw = True
